id,chapter_id,node_id,speaker,text,trigger
dialogue_001,chapter_01,node_port,海盗王,终于有人打开了这只瓶子。,chapter_start
dialogue_002,chapter_01,node_port,卡特琳娜,想活着离开就先修好船。迷雾里的东西已经发现我们了。,chapter_start
dialogue_003,chapter_01,node_fog_gate,卡特琳娜,近路穿过暗礁，远路能让船员休整。你来决定。,node_enter
dialogue_004,chapter_01,node_safe_cove,艾琳,风浪暂时停了。给我一点时间，我能让伤员重新站起来。,node_enter
dialogue_005,chapter_01,node_wreck,米克,残骸上有人挥旗。货舱也还没沉，先救谁由你决定。,node_enter
dialogue_006,chapter_01,node_wreck,获救水手,那艘黑帆船没有抢货。它像是在找瓶子。,choice_resolved
dialogue_007,chapter_01,node_black_tide,卡特琳娜,黑潮不是自然形成的。绑紧货箱，或者抓住桅杆赌一把。,node_enter
dialogue_008,chapter_01,node_black_tide,罗克,浪过去了——可炮口全是海水。下一场别让我等太久。,choice_resolved
dialogue_009,chapter_01,node_whisper,海盗王,借用我的力量，你会更快找到符文。,node_enter
dialogue_010,chapter_01,node_whisper,艾琳,声音从瓶子里来，也从每个人脑子里来。别轻易答应它。,choice_prompt
dialogue_011,chapter_01,node_cursed_compass,卡特琳娜,罗盘知道敌船的弱点，但每走一步都在改变我们的航向。,node_enter
dialogue_012,chapter_01,node_cursed_compass,米克,要么利用它先开一炮，要么现在就砸碎。别让它替船长下令。,choice_prompt
dialogue_013,chapter_01,node_raider,罗克,先轰碎它的甲板，再让米克带人登船！,battle_start
dialogue_014,chapter_01,node_raider,卡特琳娜,敌炮正在校准。压制火炮能保住船体，破坏甲板能削弱接舷队。,naval_hint
dialogue_015,chapter_01,node_raider,米克,钩索就位！甲板打得越烂，我们登船越轻松。,boarding_start
dialogue_016,chapter_01,node_raider,艾琳,守住阵线，我只能进行一次紧急包扎。,boarding_hint
dialogue_017,chapter_01,node_rune_clue,海盗王,第一道封印已经松动。继续吧，船长。,chapter_complete
dialogue_018,chapter_01,node_port,卡特琳娜,这次战利品足够改造船。选好方向，下一片迷雾不会等我们。,return_to_port
