id,trigger,description,required_fields,decision_metric
session_started,session_start,创建一次独立测试会话,session_id|profile|stage_after,session_count
opening_accepted,accept_call,接受瓶中召唤并进入整备,stage_before|stage_after,opening_conversion
module_selected,select_module,选择船只模块,action|stage_after,module_preference
voyage_started,start_voyage,完成整备并首次出航,provisions|stage_after,first_voyage_start
route_intel_revealed,reveal_route_intel,消耗补给揭示路线情报,provisions|route_intel,intel_usage
route_selected,choose_route,选择安全或风险路线,action|route|provisions,route_preference
voyage_event_choice,event_choice,处理航线事件或黑潮,action|stage_before|stage_after,event_choice_distribution
curse_decision,curse_choice,回应低语或处理诅咒罗盘,action|stage_before|stage_after,curse_preference
naval_action,naval_action,执行舰炮阶段操作,action|enemy_ship_hp|player_hull,naval_understanding
boarding_action,boarding_action,执行接舷阶段操作,action|enemy_boarding_hp|crew_hp,boarding_understanding
battle_result,battle_result,记录胜利失败或撤退,stage_before|stage_after|result,battle_completion
recovery_choice,recovery,失败后选择原地重试或返港恢复,action|stage_before|stage_after,recovery_preference
rune_claimed,take_rune_clue,取得第一枚符文线索,stage_after|rune_dust,chapter_goal_reached
return_completed,return_to_port,带着战利品返回皇家港,stage_after|resources,return_loop_completed
upgrade_completed,upgrade,使用远航资源完成升级,action|stage_after|resources,upgrade_conversion
chapter_restarted,restart_chapter,重置首章测试进度并创建新会话,action|stage_after,repeat_test_count
invalid_action,invalid_action,记录资源不足或非法操作,action|stage_before|result,friction_count
